K01332>Human>H3N2 subtype
CY095112>Avian>H7N2 subtype
MG230435>Avian>H9N2 subtype
FJ534578>Avian>H5N1 subtype
MF673169>Human>H3N2 subtype
MG230435>Avian>H9N2 subtype
KR732402>Avian>H5N1 subtype
KP866072>Avian>H9N2 subtype
CY037035>Environment>H7N2 subtype
KX160159>Avian>H5N1 subtype
CY173339>Human>H1N1 subtype
JN222385>Canine>H9N2 subtype
GU183423>Avian>H5N1 subtype
CY173371>Human>H1N1 subtype
KR732402>Avian>H5N1 subtype
KP702169>Human>H5N1 subtype
GU050345>Avian>H5N1 subtype
CY087871>Human>H1N1 subtype
HQ025953>Avian>H5N1 subtype
AB261857>Avian>H5N2 subtype
MF182459>Equine>H3N8 subtype
CY117788>Human>H3N2 subtype
KR732409>Avian>H5N1 subtype
KJ907699>Avian>H9N2 subtype
CY095120>Avian>H7N2 subtype
KP702169>Human>H5N1 subtype
KF952510>Human>H7N9 subtype
KJ426288>Avian>H9N2 subtype
KY614860>Avian>H5N1 subtype
EU875397>Avian>H5N1 subtype
CY000453>Human>H1N1 subtype
KF188298>Avian>H9N2 subtype
KR063682>Avian>H5N1 subtype
K01332>Human>H3N2 subtype
GU183423>Avian>H5N1 subtype
EU875397>Avian>H5N1 subtype
EU146914>Human>H5N1 subtype
KY616764>Avian>H9N2 subtype
CY113217>Human>H3N2 subtype
CY094819>Avian>H5N1 subtype
M12593>Human>H1N1 subtype
CY026471>Swine>H1N1 subtype
EU502889>Swine>H1N1 subtype
CY103880>Bat>H17N10 subtype
CY085554>Swine>H1N1 subtype
JQ356894>Avian>H9N2 subtype
MF782969>Human>H3N2 subtype
MG668919>Human>H5N1 subtype
HM172282>Avian>H5N1 subtype
CY023812>Avian>H9N2 subtype
JN222385>Canine>H9N2 subtype
D30673>Human>H3N2 subtype
KT361992>Avian>H5N1 subtype
CY103896>Bat>H17N10 subtype
KP866072>Avian>H9N2 subtype
AF213909>Swine>H3N2 subtype
CY265367>Human>H1N1 subtype
AF508715>Avian>H9N2 subtype
AB600945>Swine>H1N2 subtype
EU153294>Avian>H5N1 subtype
CY021105>Human>H3N2 subtype
HQ141876>Avian>H9N2 subtype
KY785764>Avian>H9N2 subtype
KC757869>Environment>H9N2 subtype
M17699>Human>H3N2 subtype
GU052461>Avian>H5N1 subtype
KF746773>Avian>H9N2 subtype
GQ148851>Avian>H9N2 subtype
KR270336>Avian>H5N1 subtype
AF398877>Human>H1N1 subtype
MG739630>Swine>H3N2 subtype
CY001465>Human>H3N2 subtype
CY036803>Swine>H1N1 subtype
EU146733>Human>H5N1 subtype
KX978139>Avian>H13N2 subtype
CY010792>none>H1N1 subtype
KF881412>Avian>H5N1 subtype
FJ205651>Avian>H9N2 subtype
KP702169>Human>H5N1 subtype
KY785764>Avian>H9N2 subtype
AF523515>Avian>H9N2 subtype
KR732430>Avian>H5N1 subtype
KX638412>Avian>H5N6 subtype
KF881366>Avian>H5N1 subtype
CY013283>Human>H1N1 subtype
CY113345>Human>H3N2 subtype
KY635511>Avian>H5N1 subtype
EU146910>Avian>H5N1 subtype
KP027623>Avian>H9N2 subtype
LC208491>Avian>H5N1 subtype
CY265233>Human>H1N1 subtype
MF173318>Canine>H3N8 subtype
CY002404>Human>H1N1 subtype
DQ376788>Avian>H6N1 subtype
CY130138>Equine>H7N7 subtype
JF346142>Swine>H3N2 subtype
JX844150>Equine>H3N8 subtype
KR270336>Avian>H5N1 subtype
CY020489>Human>H1N1 subtype
KF881316>Avian>H5N1 subtype
MF673331>Avian>H9N2 subtype
KY635812>Avian>H9N2 subtype
JN828574>Avian>H9N2 subtype
KR732402>Avian>H5N1 subtype
KF886517>Avian>H9N2 subtype
CY039395>Equine>H7N7 subtype
CY173339>Human>H1N1 subtype
GU050345>Avian>H5N1 subtype
KC841932>Swine>H3N2 subtype
DQ485212>Avian>H9N2 subtype
HM590785>Environment>H5N1 subtype
CY016152>Avian>H4N2 subtype
MG002443>Equine>H3N8 subtype
CY035218>Human>H3N2 subtype
JQ347971>Avian>H9N2 subtype
GQ148851>Avian>H9N2 subtype
CY095008>Environment>H7N2 subtype
AF508717>Avian>H9N2 subtype
KC757966>Avian>H9N2 subtype
CY000413>Human>H3N2 subtype
CY095032>Environment>H7N2 subtype
JN543540>Avian>H9N2 subtype
CY020905>Avian>H10N8 subtype
